Hesap Kodu;Açýklama
      770.01.07.00008;MOTORLU TAÞITLAR VERGÝSÝ (KKEG OLMAYAN)
      770.01.07.00009;ARAÇ SÖZLEÞME CEZALARI
      770.01.07.00010;ELEKTRÝKLÝ ARAÇ YAKIT GÝD.
      770.01.07.00012;ARAÇ UTTS GÝDERLERÝ
      770.01.07.99999;DÝÐER ARAÇ GÝD. (YIKAMA- PARK VS)
      770.01.09.00001;ARAÇ KASKO GÝD
      770.01.09.00002;ZORUNLU TRAFÝK SÝGORTASI GÝD.
      770.01.09.00003;OFÝS YANGIN SÝGORTA GÝD.
      770.01.09.00004;MESLEKÝ MESULÝYET SÝGORTA GÝD.-HEKÝM
      770.01.09.00005;MESLEKÝ MESULÝYET SÝGORTA GÝD.-ISG UZMAN
      770.01.09.00006;TAMAMLAYICI SAÐLIK SÝGORTA GÝD.
      770.01.09.00007;GRUP ÖZEL SAÐLIK SÝGORTASI-VODAFONE
      770.01.09.00008;ÝÞVEREN MALÝ SORUMLULUK SÝGORTASI GÝD.
      770.01.09.00009;3.ÞAHIS MALÝ SORUMLULUK SÝGORTASI GÝD.
      770.01.09.00010;BANKA KREDÝ ÝÇÝN BÝREYSEL SÝGORTALAR-TÝCARÝ/HAYAT
      770.01.09.00011;SÝBER KORUMA SÝGORTA GÝD.
      770.01.09.00012;FERDÝ KAZA SÝGORTASI
      770.01.09.00013;LOJMAN SÝGORTASI
      770.01.09.00014;GRUP ÖZEL SAÐLIK SÝGORTASI-PERSONEL
      770.01.10.00001;DANIÞMANLIK GÝD.-YMM
      770.01.10.00002;DANIÞMANLIK GÝD.-TEÞVÝK DNÞ
      770.01.10.00003;DANIÞMANLIK GÝD.-ÝDARÝ ÝÞLER
      770.01.10.00004;DANIÞMANLIK GÝD.-HUKUK
      770.01.10.00005;DANIÞMANLIK GÝD.-ARABULUCULUK
      770.01.10.00006;DANIÞMANLIK GÝD.-MALÝ
      770.01.10.00007;DANIÞMANLIK GÝD.-INSAN KAYNAKLARI
      770.01.10.00009;DANIÞMANLIK GÝD.-YÖNETÝM
      770.01.10.00010;DANIÞMANLIK GÝD.-IT (BÝLGÝ ÝÞLEM)
      770.01.10.00011;DANIÞMANLIK GÝD.-YÖNETÝM(TEVKÝFATLI)
      770.01.10.00012;DANIÞMANLIK GÝD.-TASFÝYE MASRAFLARI YANSITMASI
      770.01.11.00001;OFÝS BAKIM ONARIM GÝD.
      770.01.11.00002;ARAÇ BAKIM ONARIM GÝD.
      770.01.11.00003;CEP TELEFONU ONARIM GÝD.
      770.01.11.00004;LAPTOP ONARIM GÝD.
      770.01.11.00006;BÝLGÝ ÝÞLEM BAKIM ONARIM GÝD.
      770.01.11.99999;DÝÐER DEMÝRBAÞ BAKIM ONARIM
      770.01.12.00001;BÝLGÝ ÝÞLEM SÝSTEM ALTYAPI DESTEK GÝD.
      770.01.12.00002;YAZILIM ADMÝN VE HELP DESK GÝD.
      770.01.12.00003;YERÝNDE HELP DESK GÝD.
      770.01.12.00005;LOGO ÇÖZÜM ORTAÐI DESTEK GÝD.-PRONÝST
      770.01.12.00006;LOGO LEM BEDELÝ GÝD.
      770.01.12.00008;SUNUCU BARINDIRMA/HOSTING GÝD. (VODAFONE)
      770.01.12.00009;E- FATURA/KEP/KONTÖR/ENTEGRATÖR GÝD.
      770.01.12.00010;WEB ALAN ADI TAHSÝS GÝD.
      770.01.12.00011;E-ÝMZA/E-TUÐRA GÝD.
      770.01.12.00012;PERSONEL KEP ADRESÝ GÝDERLERÝ
      770.01.12.00013;BUTTERFLY DXP ERP  PLATFORM KULLANIM GÝD.
      770.01.12.99999;BÝLGÝ ÝÞLEM DÝÐER GÝD.
      770.01.13.00003;LABORATUVAR HÝZMET ALIM GÝD.
      770.01.14.00001;KALÝTE ISO EÐÝTÝM GÝD.
      770.01.14.00002;ÝLKYARDIM EÐÝTÝM GÝD.
      770.01.14.00003;MESLEKÝ EÐÝTÝM GÝD.
      770.01.14.00004;EÐÝTÝM AMAÇLI ÞÝRKET TOPLANTI GÝD.
      770.01.30.00001;REKLAM TANITIM TOPLANTI GÝD.
